timestamp,log_type,message,stacktrace
11.71562,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:347).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at ./Library/PackageCache/com.unity.ugui/Runtime/UGUI/EventSystem/EventSystem.cs:530).  
11.79727,Log,5,UnityEngine.Debug:Log (object).  YMaze_transition:Start () (at Assets/Scripts/YMaze_transition.cs:64).  
34.31999,Log,Correct!,UnityEngine.Debug:Log (object).  YMaze_transition:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/YMaze_transition.cs:101).  
47.63998,Log,Correct!,UnityEngine.Debug:Log (object).  YMaze_transition:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/YMaze_transition.cs:101).  
60.19998,Log,Correct!,UnityEngine.Debug:Log (object).  YMaze_transition:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/YMaze_transition.cs:101).  
73.21997,Log,Correct!,UnityEngine.Debug:Log (object).  YMaze_transition:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/YMaze_transition.cs:101).  
85.45997,Log,Correct!,UnityEngine.Debug:Log (object).  YMaze_transition:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/YMaze_transition.cs:101).  
85.45997,Log,Change Environment!,UnityEngine.Debug:Log (object).  YMaze_transition:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/YMaze_transition.cs:122).  
85.45997,Exception,NullReferenceException: Object reference not set to an instance of an object,YMaze_transition.LoadNewEnvironment (UXF.Block block) (at Assets/Scripts/YMaze_transition.cs:138).  UnityEngine.Events.InvokableCall`1[T1].Invoke (T1 args0) (at <b5bf0c891ea345fe93688f835df32fdc>:0).  UnityEngine.Events.UnityEvent`1[T0].Invoke (T0 arg0) (at <b5bf0c891ea345fe93688f835df32fdc>:0).  UXF.Trial.Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:125).  UXF.Session.BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:428).  YMaze_transition.OnTriggerEnter (UnityEngine.Collider col) (at Assets/Scripts/YMaze_transition.cs:124).  
