time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
120.8214,36.52,0,22,0,240,0
120.8226,36.52,0,22,0,240,0
120.8237,36.52,0,22,0,240,0
120.8248,36.52,0,22,0,240,0
120.8258,36.52,0,22,0,240,0
120.8269,36.52,0,22,0,240,0
120.8279,36.52,0,22,0,240,0
120.8289,36.52,0,22,0,240,0
120.83,36.52,0,22,0,240,0
120.831,36.52,0,22,0,240,0
120.8321,36.52,0,22,0,240,0
120.8337,36.52,0,22,0,240,0
120.8348,36.52,0,22,0,240,0
120.8359,36.52,0,22,0,240,0
120.8371,36.52,0,22,0,240,0
120.8382,36.52,0,22,0,240,0
120.8393,36.52,0,22,0,240,0
120.8404,36.34679,0,21.9,0,240,0
120.8418,36.34679,0,21.9,0,240,0
120.8429,36.34679,0,21.9,0,240,0
120.844,36.34679,0,21.9,0,240,0
120.845,36.34679,0,21.9,0,240,0
120.8461,36.34679,0,21.9,0,240,0
120.8472,36.34679,0,21.9,0,240,0
120.8483,36.34679,0,21.9,0,240,0
120.8495,36.34679,0,21.9,0,240,0
120.8506,36.34679,0,21.9,0,240,0
120.8516,36.34679,0,21.9,0,240,0
120.8526,36.34679,0,21.9,0,240,0
120.8536,36.34679,0,21.9,0,240,0
120.8546,36.34679,0,21.9,0,240,0
120.8557,36.34679,0,21.9,0,240,0
120.8567,36.34679,0,21.9,0,240,0
120.8577,36.34679,0,21.9,0,240,0
120.8588,36.34679,0,21.9,0,240,0
120.8599,36.34679,0,21.9,0,240,0
120.861,36.17359,0,21.8,0,240,0
120.8625,36.17359,0,21.8,0,240,0
120.8637,36.17359,0,21.8,0,240,0
120.8648,36.17359,0,21.8,0,240,0
120.8659,36.17359,0,21.8,0,240,0
120.867,36.17359,0,21.8,0,240,0
120.868,36.17359,0,21.8,0,240,0
120.869,36.17359,0,21.8,0,240,0
120.87,36.17359,0,21.8,0,240,0
120.871,36.17359,0,21.8,0,240,0
120.872,36.17359,0,21.8,0,240,0
120.873,36.17359,0,21.8,0,240,0
120.8741,36.17359,0,21.8,0,240,0
120.8751,36.17359,0,21.8,0,240,0
120.8761,36.17359,0,21.8,0,240,0
120.8771,36.17359,0,21.8,0,240,0
120.8782,36.17359,0,21.8,0,240,0
120.8795,36.17359,0,21.8,0,240,0
120.8817,36.00039,0,21.7,0,240,0
120.8832,36.00039,0,21.7,0,240,0
120.8844,36.00039,0,21.7,0,240,0
120.8855,36.00039,0,21.7,0,240,0
120.8867,36.00039,0,21.7,0,240,0
120.8879,36.00039,0,21.7,0,240,0
120.8893,36.00039,0,21.7,0,240,0
120.8952,36.00039,0,21.7,0,240,0
120.8965,36.00039,0,21.7,0,240,0
120.8982,36.00039,0,21.7,0,240,0
120.8993,36.00039,0,21.7,0,240,0
120.9006,35.82718,0,21.6,0,240,0
120.9023,35.82718,0,21.6,0,240,0
120.9034,35.82718,0,21.6,0,240,0
120.9044,35.82718,0,21.6,0,240,0
120.9055,35.82718,0,21.6,0,240,0
120.9065,35.82718,0,21.6,0,240,0
120.9076,35.82718,0,21.6,0,240,0
120.9088,35.82718,0,21.6,0,240,0
120.9099,35.82718,0,21.6,0,240,0
120.9116,35.82718,0,21.6,0,240,0
120.913,35.82718,0,21.6,0,240,0
120.9142,35.82718,0,21.6,0,240,0
120.9155,35.82718,0,21.6,0,240,0
120.917,35.82718,0,21.6,0,240,0
120.9184,35.82718,0,21.6,0,240,0
120.9199,35.82718,0,21.6,0,240,0
120.921,35.65398,0,21.5,0,240,0
120.9224,35.65398,0,21.5,0,240,0
120.9235,35.65398,0,21.5,0,240,0
120.9245,35.65398,0,21.5,0,240,0
120.9256,35.65398,0,21.5,0,240,0
120.9267,35.65398,0,21.5,0,240,0
120.9278,35.65398,0,21.5,0,240,0
120.9289,35.65398,0,21.5,0,240,0
120.93,35.65398,0,21.5,0,240,0
120.9311,35.65398,0,21.5,0,240,0
120.9322,35.65398,0,21.5,0,240,0
120.9332,35.65398,0,21.5,0,240,0
120.9343,35.65398,0,21.5,0,240,0
120.9354,35.65398,0,21.5,0,240,0
120.9364,35.65398,0,21.5,0,240,0
120.9374,35.65398,0,21.5,0,240,0
120.9385,35.65398,0,21.5,0,240,0
120.9395,35.65398,0,21.5,0,240,0
120.9406,35.48077,0,21.4,0,240,0
120.9426,35.48077,0,21.4,0,240,0
120.9437,35.48077,0,21.4,0,240,0
120.9448,35.48077,0,21.4,0,240,0
120.946,35.48077,0,21.4,0,240,0
120.9474,35.48077,0,21.4,0,240,0
120.9486,35.48077,0,21.4,0,240,0
120.9497,35.48077,0,21.4,0,240,0
120.9509,35.48077,0,21.4,0,240,0
120.952,35.48077,0,21.4,0,240,0
120.953,35.48077,0,21.4,0,240,0
120.954,35.48077,0,21.4,0,240,0
120.955,35.48077,0,21.4,0,240,0
120.956,35.48077,0,21.4,0,240,0
120.9571,35.48077,0,21.4,0,240,0
120.9581,35.48077,0,21.4,0,240,0
120.9591,35.48077,0,21.4,0,240,0
120.9601,35.30756,0,21.3,0,240,0
120.9615,35.30756,0,21.3,0,240,0
120.9625,35.30756,0,21.3,0,240,0
120.9636,35.30756,0,21.3,0,240,0
120.9646,35.30756,0,21.3,0,240,0
120.9656,35.30756,0,21.3,0,240,0
120.9667,35.30756,0,21.3,0,240,0
120.9678,35.30756,0,21.3,0,240,0
120.9689,35.30756,0,21.3,0,240,0
120.97,35.30756,0,21.3,0,240,0
120.971,35.30756,0,21.3,0,240,0
120.9721,35.30756,0,21.3,0,240,0
120.9737,35.30756,0,21.3,0,240,0
120.9748,35.30756,0,21.3,0,240,0
120.9758,35.30756,0,21.3,0,240,0
120.9769,35.30756,0,21.3,0,240,0
120.9779,35.30756,0,21.3,0,240,0
120.9789,35.30756,0,21.3,0,240,0
120.9799,35.30756,0,21.3,0,240,0
120.981,35.13436,0,21.2,0,240,0
120.9822,35.13436,0,21.2,0,240,0
120.9833,35.13436,0,21.2,0,240,0
120.9843,35.13436,0,21.2,0,240,0
120.9853,35.13436,0,21.2,0,240,0
120.9863,35.13436,0,21.2,0,240,0
120.9873,35.13436,0,21.2,0,240,0
120.9884,35.13436,0,21.2,0,240,0
120.9894,35.13436,0,21.2,0,240,0
120.9905,35.13436,0,21.2,0,240,0
120.9915,35.13436,0,21.2,0,240,0
120.9925,35.13436,0,21.2,0,240,0
120.9935,35.13436,0,21.2,0,240,0
120.9946,35.13436,0,21.2,0,240,0
120.9956,35.13436,0,21.2,0,240,0
120.9967,35.13436,0,21.2,0,240,0
120.9977,35.13436,0,21.2,0,240,0
120.9987,35.13436,0,21.2,0,240,0
120.9999,35.13436,0,21.2,0,240,0
121.0011,34.96115,0,21.1,0,240,0
121.0024,34.96115,0,21.1,0,240,0
121.0042,34.96115,0,21.1,0,240,0
121.0055,34.96115,0,21.1,0,240,0
121.0065,34.96115,0,21.1,0,240,0
121.0076,34.96115,0,21.1,0,240,0
121.0086,34.96115,0,21.1,0,240,0
121.0096,34.96115,0,21.1,0,240,0
121.0108,34.96115,0,21.1,0,240,0
