time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
114.1013,0,0,-34,0,0,0
114.1031,0,0,-34,0,0,0
114.1093,0,0,-34,0,0,0
114.1105,0,0,-34,0,0,0
114.1115,0,0,-34,0,0,0
114.1128,0,0,-34,0,0,0
114.1139,0,0,-34,0,0,0
114.115,0,0,-34,0,0,0
114.116,0,0,-34,0,0,0
114.1171,0,0,-34,0,0,0
114.1182,0,0,-34,0,0,0
114.1192,0,0,-34,0,0,0
114.1203,0,0,-33.8,0,0,0
114.1217,0,0,-33.8,0,0,0
114.1277,0,0,-33.8,0,0,0
114.1296,0,0,-33.8,0,0,0
114.1307,0,0,-33.8,0,0,0
114.1319,0,0,-33.8,0,0,0
114.1332,0,0,-33.8,0,0,0
114.1343,0,0,-33.8,0,0,0
114.1355,0,0,-33.8,0,0,0
114.1368,0,0,-33.8,0,0,0
114.138,0,0,-33.8,0,0,0
114.1392,0,0,-33.8,0,0,0
114.1402,0,0,-33.6,0,0,0
114.1416,0,0,-33.6,0,0,0
114.1476,0,0,-33.6,0,0,0
114.1487,0,0,-33.6,0,0,0
114.1498,0,0,-33.6,0,0,0
114.1508,0,0,-33.6,0,0,0
114.1518,0,0,-33.6,0,0,0
114.1529,0,0,-33.6,0,0,0
114.1541,0,0,-33.6,0,0,0
114.1551,0,0,-33.6,0,0,0
114.1562,0,0,-33.6,0,0,0
114.1572,0,0,-33.6,0,0,0
114.1583,0,0,-33.6,0,0,0
114.1594,0,0,-33.6,0,0,0
114.1607,0,0,-33.4,0,0,0
114.1622,0,0,-33.4,0,0,0
114.1683,0,0,-33.4,0,0,0
114.1693,0,0,-33.4,0,0,0
114.1704,0,0,-33.4,0,0,0
114.1715,0,0,-33.4,0,0,0
114.1725,0,0,-33.4,0,0,0
114.1735,0,0,-33.4,0,0,0
114.1746,0,0,-33.4,0,0,0
114.1763,0,0,-33.4,0,0,0
114.1774,0,0,-33.4,0,0,0
114.1785,0,0,-33.4,0,0,0
114.1798,0,0,-33.4,0,0,0
114.1809,0,0,-33.2,0,0,0
114.1823,0,0,-33.2,0,0,0
114.1883,0,0,-33.2,0,0,0
114.1894,0,0,-33.2,0,0,0
114.1905,0,0,-33.2,0,0,0
114.1916,0,0,-33.2,0,0,0
114.1926,0,0,-33.2,0,0,0
114.1937,0,0,-33.2,0,0,0
114.1947,0,0,-33.2,0,0,0
114.1958,0,0,-33.2,0,0,0
114.1968,0,0,-33.2,0,0,0
114.1979,0,0,-33.2,0,0,0
114.199,0,0,-33.2,0,0,0
114.2,0,0,-33,0,0,0
114.2015,0,0,-33,0,0,0
114.2085,0,0,-33,0,0,0
114.2096,0,0,-33,0,0,0
114.2108,0,0,-33,0,0,0
114.212,0,0,-33,0,0,0
114.2133,0,0,-33,0,0,0
114.2144,0,0,-33,0,0,0
114.2154,0,0,-33,0,0,0
114.2165,0,0,-33,0,0,0
114.2175,0,0,-33,0,0,0
114.2186,0,0,-33,0,0,0
114.2196,0,0,-33,0,0,0
114.2206,0,0,-32.8,0,0,0
114.2219,0,0,-32.8,0,0,0
114.2279,0,0,-32.8,0,0,0
114.2289,0,0,-32.8,0,0,0
114.23,0,0,-32.8,0,0,0
114.2311,0,0,-32.8,0,0,0
114.2322,0,0,-32.8,0,0,0
114.2333,0,0,-32.8,0,0,0
114.2343,0,0,-32.8,0,0,0
114.2356,0,0,-32.8,0,0,0
114.2368,0,0,-32.8,0,0,0
114.2385,0,0,-32.8,0,0,0
114.2396,0,0,-32.8,0,0,0
114.2406,0,0,-32.6,0,0,0
114.2419,0,0,-32.6,0,0,0
114.248,0,0,-32.6,0,0,0
114.249,0,0,-32.6,0,0,0
114.2502,0,0,-32.6,0,0,0
114.2513,0,0,-32.6,0,0,0
114.2524,0,0,-32.6,0,0,0
114.2536,0,0,-32.6,0,0,0
114.2547,0,0,-32.6,0,0,0
114.2558,0,0,-32.6,0,0,0
114.257,0,0,-32.6,0,0,0
114.2582,0,0,-32.6,0,0,0
114.2594,0,0,-32.6,0,0,0
114.2605,0,0,-32.4,0,0,0
114.2618,0,0,-32.4,0,0,0
114.2678,0,0,-32.4,0,0,0
114.2694,0,0,-32.4,0,0,0
114.2705,0,0,-32.4,0,0,0
114.2717,0,0,-32.4,0,0,0
114.2727,0,0,-32.4,0,0,0
114.2738,0,0,-32.4,0,0,0
114.2748,0,0,-32.4,0,0,0
114.276,0,0,-32.4,0,0,0
114.277,0,0,-32.4,0,0,0
114.2781,0,0,-32.4,0,0,0
114.2791,0,0,-32.4,0,0,0
114.2802,0,0,-32.2,0,0,0
114.2816,0,0,-32.2,0,0,0
114.2876,0,0,-32.2,0,0,0
114.2888,0,0,-32.2,0,0,0
114.2901,0,0,-32.2,0,0,0
114.2913,0,0,-32.2,0,0,0
114.2924,0,0,-32.2,0,0,0
114.2935,0,0,-32.2,0,0,0
114.2946,0,0,-32.2,0,0,0
114.2958,0,0,-32.2,0,0,0
114.297,0,0,-32.2,0,0,0
114.2981,0,0,-32.2,0,0,0
114.2993,0,0,-32.2,0,0,0
114.3011,0,0,-32,0,0,0
114.3026,0,0,-32,0,0,0
114.3086,0,0,-32,0,0,0
114.3097,0,0,-32,0,0,0
114.3108,0,0,-32,0,0,0
114.312,0,0,-32,0,0,0
114.3131,0,0,-32,0,0,0
114.3143,0,0,-32,0,0,0
114.3156,0,0,-32,0,0,0
114.3167,0,0,-32,0,0,0
114.3178,0,0,-32,0,0,0
114.3192,0,0,-32,0,0,0
114.3204,0,0,-31.8,0,0,0
114.3218,0,0,-31.8,0,0,0
114.328,0,0,-31.8,0,0,0
114.329,0,0,-31.8,0,0,0
114.3308,0,0,-31.8,0,0,0
114.3319,0,0,-31.8,0,0,0
114.333,0,0,-31.8,0,0,0
114.334,0,0,-31.8,0,0,0
114.3351,0,0,-31.8,0,0,0
114.3363,0,0,-31.8,0,0,0
114.3373,0,0,-31.8,0,0,0
114.3384,0,0,-31.8,0,0,0
114.3397,0,0,-31.8,0,0,0
114.3408,0,0,-31.6,0,0,0
114.3423,0,0,-31.6,0,0,0
114.3483,0,0,-31.6,0,0,0
114.3494,0,0,-31.6,0,0,0
114.3507,0,0,-31.6,0,0,0
114.3518,0,0,-31.6,0,0,0
114.3531,0,0,-31.6,0,0,0
114.3542,0,0,-31.6,0,0,0
114.3553,0,0,-31.6,0,0,0
114.3563,0,0,-31.6,0,0,0
114.3574,0,0,-31.6,0,0,0
114.3585,0,0,-31.6,0,0,0
114.3596,0,0,-31.6,0,0,0
114.3607,0,0,-31.4,0,0,0
114.3626,0,0,-31.4,0,0,0
114.3685,0,0,-31.4,0,0,0
114.3696,0,0,-31.4,0,0,0
114.3707,0,0,-31.4,0,0,0
114.3717,0,0,-31.4,0,0,0
114.3728,0,0,-31.4,0,0,0
114.3739,0,0,-31.4,0,0,0
114.3751,0,0,-31.4,0,0,0
114.3762,0,0,-31.4,0,0,0
114.3773,0,0,-31.4,0,0,0
114.3783,0,0,-31.4,0,0,0
114.3793,0,0,-31.4,0,0,0
114.3804,0,0,-31.2,0,0,0
114.3818,0,0,-31.2,0,0,0
114.3876,0,0,-31.2,0,0,0
114.3887,0,0,-31.2,0,0,0
114.3897,0,0,-31.2,0,0,0
114.3908,0,0,-31.2,0,0,0
114.3919,0,0,-31.2,0,0,0
114.3931,0,0,-31.2,0,0,0
114.3941,0,0,-31.2,0,0,0
114.3952,0,0,-31.2,0,0,0
114.3963,0,0,-31.2,0,0,0
114.3974,0,0,-31.2,0,0,0
114.3985,0,0,-31.2,0,0,0
114.3995,0,0,-31.2,0,0,0
114.4006,0,0,-31,0,0,0
114.4019,0,0,-31,0,0,0
114.4083,0,0,-31,0,0,0
114.4094,0,0,-31,0,0,0
114.4105,0,0,-31,0,0,0
114.4115,0,0,-31,0,0,0
114.4126,0,0,-31,0,0,0
114.4138,0,0,-31,0,0,0
114.415,0,0,-31,0,0,0
114.4161,0,0,-31,0,0,0
114.4171,0,0,-31,0,0,0
114.4182,0,0,-31,0,0,0
114.4192,0,0,-31,0,0,0
114.4202,0,0,-30.8,0,0,0
114.4215,0,0,-30.8,0,0,0
114.4275,0,0,-30.8,0,0,0
114.4286,0,0,-30.8,0,0,0
114.4296,0,0,-30.8,0,0,0
114.4308,0,0,-30.8,0,0,0
114.4319,0,0,-30.8,0,0,0
114.4329,0,0,-30.8,0,0,0
114.434,0,0,-30.8,0,0,0
114.4351,0,0,-30.8,0,0,0
114.4363,0,0,-30.8,0,0,0
114.4374,0,0,-30.8,0,0,0
114.4385,0,0,-30.8,0,0,0
114.4402,0,0,-30.6,0,0,0
114.4417,0,0,-30.6,0,0,0
114.4478,0,0,-30.6,0,0,0
114.449,0,0,-30.6,0,0,0
114.4501,0,0,-30.6,0,0,0
114.4514,0,0,-30.6,0,0,0
114.4526,0,0,-30.6,0,0,0
114.4538,0,0,-30.6,0,0,0
114.4549,0,0,-30.6,0,0,0
114.4561,0,0,-30.6,0,0,0
114.4572,0,0,-30.6,0,0,0
114.4583,0,0,-30.6,0,0,0
114.4594,0,0,-30.6,0,0,0
114.4604,0,0,-30.4,0,0,0
114.4618,0,0,-30.4,0,0,0
114.4677,0,0,-30.4,0,0,0
114.4687,0,0,-30.4,0,0,0
114.4703,0,0,-30.4,0,0,0
114.4713,0,0,-30.4,0,0,0
114.4724,0,0,-30.4,0,0,0
114.4735,0,0,-30.4,0,0,0
114.4746,0,0,-30.4,0,0,0
114.4757,0,0,-30.4,0,0,0
114.4767,0,0,-30.4,0,0,0
114.4777,0,0,-30.4,0,0,0
114.4788,0,0,-30.4,0,0,0
114.4798,0,0,-30.4,0,0,0
114.4809,0,0,-30.2,0,0,0
114.4823,0,0,-30.2,0,0,0
114.4889,0,0,-30.2,0,0,0
114.499,0,0,-30.2,0,0,0
114.5002,0,0,-30,0,0,0
114.5024,0,0,-30,0,0,0
114.5085,0,0,-30,0,0,0
114.5098,0,0,-30,0,0,0
114.5109,0,0,-30,0,0,0
114.512,0,0,-30,0,0,0
114.5131,0,0,-30,0,0,0
114.5143,0,0,-30,0,0,0
114.5154,0,0,-30,0,0,0
114.5165,0,0,-30,0,0,0
114.5175,0,0,-30,0,0,0
114.5186,0,0,-30,0,0,0
114.5198,0,0,-30,0,0,0
114.5208,0,0,-29.8,0,0,0
114.5223,0,0,-29.8,0,0,0
114.5283,0,0,-29.8,0,0,0
114.5295,0,0,-29.8,0,0,0
114.5306,0,0,-29.8,0,0,0
114.5323,0,0,-29.8,0,0,0
114.5333,0,0,-29.8,0,0,0
114.5344,0,0,-29.8,0,0,0
114.5355,0,0,-29.8,0,0,0
114.5365,0,0,-29.8,0,0,0
114.5375,0,0,-29.8,0,0,0
114.5386,0,0,-29.8,0,0,0
114.5396,0,0,-29.8,0,0,0
114.5408,0,0,-29.6,0,0,0
114.5422,0,0,-29.6,0,0,0
114.5483,0,0,-29.6,0,0,0
114.5493,0,0,-29.6,0,0,0
114.5504,0,0,-29.6,0,0,0
114.5515,0,0,-29.6,0,0,0
114.5526,0,0,-29.6,0,0,0
114.5536,0,0,-29.6,0,0,0
114.5546,0,0,-29.6,0,0,0
114.5557,0,0,-29.6,0,0,0
114.5567,0,0,-29.6,0,0,0
114.5578,0,0,-29.6,0,0,0
114.5588,0,0,-29.6,0,0,0
114.5599,0,0,-29.6,0,0,0
114.561,0,0,-29.4,0,0,0
114.5624,0,0,-29.4,0,0,0
114.5689,0,0,-29.4,0,0,0
114.57,0,0,-29.4,0,0,0
114.5712,0,0,-29.4,0,0,0
114.5722,0,0,-29.4,0,0,0
114.5735,0,0,-29.4,0,0,0
114.5746,0,0,-29.4,0,0,0
114.5757,0,0,-29.4,0,0,0
114.5769,0,0,-29.4,0,0,0
114.5781,0,0,-29.4,0,0,0
114.5793,0,0,-29.4,0,0,0
114.5804,0,0,-29.2,0,0,0
114.5818,0,0,-29.2,0,0,0
114.5878,0,0,-29.2,0,0,0
114.5888,0,0,-29.2,0,0,0
114.5899,0,0,-29.2,0,0,0
