time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
64.61008,36.52,0,22,0,240,0
64.61245,36.52,0,22,0,240,0
64.61931,36.52,0,22,0,240,0
64.62054,36.34679,0,21.9,0,240,0
64.62212,36.34679,0,21.9,0,240,0
64.62846,36.34679,0,21.9,0,240,0
64.62963,36.34679,0,21.9,0,240,0
64.63084,36.34679,0,21.9,0,240,0
64.63193,36.34679,0,21.9,0,240,0
64.633,36.34679,0,21.9,0,240,0
64.63405,36.34679,0,21.9,0,240,0
64.6351,36.34679,0,21.9,0,240,0
64.63618,36.34679,0,21.9,0,240,0
64.63728,36.34679,0,21.9,0,240,0
64.63834,36.34679,0,21.9,0,240,0
64.6395,36.34679,0,21.9,0,240,0
64.64059,36.17359,0,21.8,0,240,0
64.64211,36.17359,0,21.8,0,240,0
64.64827,36.17359,0,21.8,0,240,0
64.64958,36.17359,0,21.8,0,240,0
64.65083,36.17359,0,21.8,0,240,0
64.65219,36.17359,0,21.8,0,240,0
64.65345,36.17359,0,21.8,0,240,0
64.65468,36.17359,0,21.8,0,240,0
64.65585,36.17359,0,21.8,0,240,0
64.65702,36.17359,0,21.8,0,240,0
64.65822,36.17359,0,21.8,0,240,0
64.65945,36.17359,0,21.8,0,240,0
64.66077,36.00039,0,21.7,0,240,0
64.66221,36.00039,0,21.7,0,240,0
64.66874,36.00039,0,21.7,0,240,0
64.66994,36.00039,0,21.7,0,240,0
64.67117,36.00039,0,21.7,0,240,0
64.67239,36.00039,0,21.7,0,240,0
64.67358,36.00039,0,21.7,0,240,0
64.67485,36.00039,0,21.7,0,240,0
64.67599,36.00039,0,21.7,0,240,0
64.67721,36.00039,0,21.7,0,240,0
64.67847,36.00039,0,21.7,0,240,0
64.67962,36.00039,0,21.7,0,240,0
64.6808,35.82718,0,21.6,0,240,0
64.68223,35.82718,0,21.6,0,240,0
64.68822,35.82718,0,21.6,0,240,0
64.6893,35.82718,0,21.6,0,240,0
64.69041,35.82718,0,21.6,0,240,0
64.69148,35.82718,0,21.6,0,240,0
64.6926,35.82718,0,21.6,0,240,0
64.69376,35.82718,0,21.6,0,240,0
64.69489,35.82718,0,21.6,0,240,0
64.69603,35.82718,0,21.6,0,240,0
64.69734,35.82718,0,21.6,0,240,0
64.69864,35.82718,0,21.6,0,240,0
64.69985,35.82718,0,21.6,0,240,0
64.70103,35.65398,0,21.5,0,240,0
64.70239,35.65398,0,21.5,0,240,0
64.70863,35.65398,0,21.5,0,240,0
64.70972,35.65398,0,21.5,0,240,0
64.7108,35.65398,0,21.5,0,240,0
64.71186,35.65398,0,21.5,0,240,0
64.71291,35.65398,0,21.5,0,240,0
64.71397,35.65398,0,21.5,0,240,0
64.71503,35.65398,0,21.5,0,240,0
64.71609,35.65398,0,21.5,0,240,0
64.71719,35.65398,0,21.5,0,240,0
64.71844,35.65398,0,21.5,0,240,0
64.7196,35.65398,0,21.5,0,240,0
64.72069,35.48077,0,21.4,0,240,0
64.72218,35.48077,0,21.4,0,240,0
64.72835,35.48077,0,21.4,0,240,0
64.72963,35.48077,0,21.4,0,240,0
64.7308,35.48077,0,21.4,0,240,0
64.73203,35.48077,0,21.4,0,240,0
64.73316,35.48077,0,21.4,0,240,0
64.7343,35.48077,0,21.4,0,240,0
64.73567,35.48077,0,21.4,0,240,0
64.73695,35.48077,0,21.4,0,240,0
64.73821,35.48077,0,21.4,0,240,0
64.73928,35.48077,0,21.4,0,240,0
64.74043,35.30756,0,21.3,0,240,0
64.74202,35.30756,0,21.3,0,240,0
64.74812,35.30756,0,21.3,0,240,0
64.74919,35.30756,0,21.3,0,240,0
64.75026,35.30756,0,21.3,0,240,0
64.75135,35.30756,0,21.3,0,240,0
64.75241,35.30756,0,21.3,0,240,0
64.7535,35.30756,0,21.3,0,240,0
64.75457,35.30756,0,21.3,0,240,0
64.75565,35.30756,0,21.3,0,240,0
64.7567,35.30756,0,21.3,0,240,0
64.75776,35.30756,0,21.3,0,240,0
64.75883,35.30756,0,21.3,0,240,0
64.7599,35.30756,0,21.3,0,240,0
64.76099,35.13436,0,21.2,0,240,0
64.76238,35.13436,0,21.2,0,240,0
