Environment	Cummulative_Time	X	Z	rotation
Nature_Env	12.69189	34.26833	20.7	240
Nature_Env	13.69395	31.32385	19	240
Nature_Env	14.70374	31.32385	19	240
Nature_Env	15.71882	31.32385	19	240
Nature_Env	16.73257	31.32385	19	240
Nature_Env	17.74767	31.32385	19	240
Nature_Env	18.75135	31.32385	19	240
Nature_Env	19.75931	31.32385	19	240
Nature_Env	20.77079	31.32385	19	240
Nature_Env	21.78382	31.32385	19	240
Nature_Env	22.79923	31.32385	19	240
Nature_Env	23.8007	31.32385	19	240
Nature_Env	24.81701	31.32385	19	240
Nature_Env	25.81952	31.32385	19	240
Nature_Env	26.83069	31.32385	19	240
Nature_Env	27.83249	31.32385	19	240
Nature_Env	28.84762	31.32385	19	240
Nature_Env	29.8547	31.32385	19	240
Nature_Env	30.85565	31.32385	19	240
Nature_Env	31.87507	31.32385	19	240
Nature_Env	32.88869	31.32385	19	240
Nature_Env	33.90149	31.32385	19	240
Nature_Env	34.91262	31.32385	19	240
Nature_Env	35.92513	31.32385	19	240
Nature_Env	36.93679	31.32385	19	240
Nature_Env	37.95207	31.32385	19	240
Nature_Env	38.96008	31.32385	19	240
Nature_Env	39.97142	31.32385	19	240
Nature_Env	40.97194	31.32385	19	240
Nature_Env	41.98257	31.32385	19	240
Nature_Env	42.99474	31.32385	19	240
Nature_Env	44.00468	31.32385	19	240
Nature_Env	45.01634	31.32385	19	240
Nature_Env	46.02907	31.32385	19	240
Nature_Env	47.04285	31.32385	19	240
Nature_Env	48.05378	31.32385	19	240
Nature_Env	49.06348	31.32385	19	240
Nature_Env	50.07441	31.32385	19	240
Nature_Env	51.08567	31.32385	19	240
Nature_Env	52.08717	31.32385	19	240
Nature_Env	53.09818	31.32385	19	240
Nature_Env	54.11051	31.32385	19	240
Nature_Env	55.11144	31.32385	19	240
Nature_Env	56.11428	31.32385	19	240
Nature_Env	57.12467	31.32385	19	240
Nature_Env	58.12628	31.32385	19	240
Nature_Env	59.1408	31.32385	19	240
Nature_Env	60.15276	31.32385	19	240
Nature_Env	61.1634	31.32385	19	240
Nature_Env	62.16365	31.32385	19	240
Nature_Env	63.17485	31.32385	19	240
Nature_Env	64.18057	29.93821	18.2	240
Nature_Env	65.18102	24.04924	14.8	240
Nature_Env	66.18784	21.79757	13.5	240
Nature_Env	67.2	17.46744	11	240
Nature_Env	68.20572	8.80719	5.999997	240
Nature_Env	69.21331	1.532578	1.799997	240
Nature_Env	70.21487	1.532578	1.799997	240
Nature_Env	71.22877	1.532578	1.799997	240
Nature_Env	72.24606	1.532578	1.799997	240
Nature_Env	73.25253	1.532578	1.799997	240
Nature_Env	74.26814	1.532578	1.799997	240
Nature_Env	75.27642	-0.3575512	2.453764	289.0797
Nature_Env	76.29099	-9.661238	6.557206	298.5217
Nature_Env	77.30537	-18.5074	11.62253	303.2369
Nature_Env	78.32294	-27.0388	17.21316	303.2369
Nature_Env	79.33723	-35.40292	22.69418	303.2369
Nature_Env	80.35017	-41.09052	26.42126	303.2369
Nature_Env	81.35145	-41.09052	26.42126	303.2369
Nature_Env	82.36308	-41.09052	26.42126	303.2369
Nature_Env	83.37608	36.52	22	240
Nature_Env	84.37813	33.2291	20.1	240
Nature_Env	85.3837	24.56885	15.1	240
Nature_Env	86.39338	24.56885	15.1	240
Environment	Cummulative_Time	X	Z	rotation
Nature_Env	8.261857	32.01667	19.4	240
Nature_Env	9.277881	23.18321	14.3	240
Nature_Env	10.28357	14.52296	9.299998	240
Nature_Env	11.29864	5.689499	4.199997	240
Nature_Env	12.29901	-1.76092	-0.09542021	253.4644
Nature_Env	13.31249	-5.613155	3.962329	314.9283
Nature_Env	14.3247	-14.11326	9.194755	300.3109
Nature_Env	15.32909	-22.91892	14.34261	300.3109
Nature_Env	16.33916	-31.55192	19.38952	300.3109
Nature_Env	17.35039	-40.35757	24.53738	300.3109
Nature_Env	18.36479	-41.73885	25.34488	300.3109
Nature_Env	19.37149	-41.73885	25.34488	300.3109
Nature_Env	20.38292	-41.73885	25.34488	300.3109
Nature_Env	21.38332	29.24539	17.8	240
Nature_Env	22.39821	20.33713	12.83399	241.691
Nature_Env	23.39858	11.09481	9.058635	249.7865
Nature_Env	24.41022	1.634552	5.341147	249.7865
Nature_Env	25.41664	-7.321928	7.20416	304.3911
Nature_Env	26.42986	-15.73898	12.96552	304.3911
Nature_Env	27.44126	-24.93269	16.41372	290.3508
Nature_Env	28.45275	-33.69624	21.60435	303.0769
Nature_Env	29.46785	-41.0701	26.40708	303.0769
Nature_Env	30.47879	-41.0701	26.40708	303.0769
Nature_Env	31.49364	-41.0701	26.40708	303.0769
Nature_Env	32.50451	35.13436	21.2	240
Nature_Env	33.51589	26.20337	16.28106	243.5454
Nature_Env	34.52805	17.07143	11.73708	243.5454
Nature_Env	35.53479	8.118558	7.282191	243.5454
