Environment	Cummulative_Time	X	Z	rotation
Office_Env	380.1567	-6.687618	6.119801	282.2076
Office_Env	381.1573	-14.84756	11.43777	299.5421
Office_Env	382.158	-23.54749	16.3684	299.5421
Office_Env	383.159	-32.24742	21.29903	299.5421
Office_Env	384.1599	-40.94735	26.22966	299.5421
Office_Env	385.1603	-41.12135	26.32827	299.5421
Office_Env	386.1613	-41.12135	26.32827	299.5421
Office_Env	387.1615	-41.12135	26.32827	299.5421
Office_Env	388.1623	28.03296	17.1	240
Office_Env	389.1633	19.37271	12.1	240
Office_Env	390.1641	11.76537	5.741298	224.2646
Office_Env	391.1642	7.706211	4.753584	272.0909
Office_Env	392.1648	-2.053779	4.690708	272.0909
Office_Env	393.1651	-8.411177	9.526638	319.9765
Office_Env	394.166	-16.48667	13.27348	256.4092
Office_Env	395.1668	-25.88803	13.91568	273.8415
Office_Env	396.1672	-32.51999	20.54296	291.5264
Office_Env	397.1682	-42.18437	22.05861	273.8748
Office_Env	398.1687	-50.02797	23.19382	291.8529
Office_Env	399.169	-51.17019	23.56171	276.4215
Office_Env	400.1701	-50.10013	25.00911	36.47547
Office_Env	401.1704	-49.26786	26.13486	66.83517
Office_Env	402.1712	-49.26786	26.13486	183.7394
Office_Env	403.1718	-49.26786	26.13486	183.7394
Office_Env	404.1719	29.07219	17.7	240
Office_Env	405.1721	20.08807	15.57298	230.7761
Office_Env	406.1725	12.34127	9.249454	230.7761
Office_Env	407.1726	4.554786	2.985009	254.7755
Office_Env	408.1728	-5.208458	4.335763	287.9424
Office_Env	409.1732	-14.02254	8.634912	312.5311
Office_Env	410.174	-21.39164	15.39482	312.5311
Office_Env	411.175	-30.24517	19.73248	285.3699
Office_Env	412.1752	-39.88751	22.38298	285.3699
Office_Env	413.1754	-43.31058	23.99611	298.2899
Office_Env	414.1767	-43.31058	23.99611	298.2899
Office_Env	415.1768	-43.31058	23.99611	298.2899
Office_Env	416.1774	36.52	22	240
Office_Env	417.1778	28.55257	17.4	240
Office_Env	418.1786	19.89232	12.4	240
Office_Env	419.1792	11.35437	7.24214	221.8164
Office_Env	420.18	2.504415	4.661974	271.1399
Office_Env	421.1811	-5.856066	8.046791	323.0792
Office_Env	422.1817	-14.70751	10.93097	259.1954
Office_Env	423.1823	-23.00673	15.0328	310.4864
Office_Env	424.1829	-30.95147	20.80319	277.2174
Office_Env	425.1838	-39.51984	25.49514	291.183
Office_Env	426.1844	-41.19822	26.14557	355.4816
Office_Env	427.1855	-41.19822	26.14557	355.4816
Office_Env	428.1863	-41.19822	26.14557	355.4816
Office_Env	429.1873	36.52	22	240
Office_Env	430.1881	31.21239	18.79939	236.8396
Office_Env	431.1893	25.31482	17.36996	294.2678
Office_Env	432.1902	19.44916	13.17529	157.3712
Office_Env	433.1913	13.05511	9.344878	237.7857
Office_Env	434.192	4.594512	4.014007	237.7857
Office_Env	435.1924	-4.427324	5.029905	293.4756
Office_Env	436.1935	-13.59962	9.013492	293.4756
Office_Env	437.1941	-22.77191	12.99708	293.4756
Office_Env	438.1952	-31.45588	17.8653	304.4394
Office_Env	439.1957	-39.11241	23.93225	353.9793
Office_Env	440.1965	-39.69978	29.50136	255.9394
Office_Env	441.1974	-40.86383	29.20982	255.9394
Office_Env	442.198	-40.86383	29.20982	255.9394
Office_Env	443.1987	-40.86383	29.20982	255.9394
Office_Env	444.1992	0	-33.6	0
Office_Env	445.1996	-1.841174	-23.97567	336.4141
Office_Env	446.2	2.770931	-16.01451	37.42641
Office_Env	447.2009	2.748506	-9.749212	62.62801
Office_Env	448.2014	-0.8968059	-1.052883	334.1277
Office_Env	449.2025	-1.37635	-1.295178	165.8349
Office_Env	450.2032	-2.650403	1.219548	338.5198
Office_Env	451.2037	-9.431366	8.22707	274.5234
Office_Env	452.2039	-18.70454	11.11455	302.9777
Office_Env	453.205	-27.09336	16.55767	302.9777
Office_Env	454.2051	-35.48219	22.00079	302.9777
