experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,environment,spawn
YMaze_Settings,tall-7b8367e2-9dfa-415a-843a-e62ff0990a41,1,1,1,1,42.59074,51.81998,nature,start
YMaze_Settings,tall-7b8367e2-9dfa-415a-843a-e62ff0990a41,1,2,1,2,51.81998,64.21998,nature,start
YMaze_Settings,tall-7b8367e2-9dfa-415a-843a-e62ff0990a41,1,3,1,3,64.21998,87.75997,nature,start
YMaze_Settings,tall-7b8367e2-9dfa-415a-843a-e62ff0990a41,1,4,1,4,87.75997,100.52,nature,start
YMaze_Settings,tall-7b8367e2-9dfa-415a-843a-e62ff0990a41,1,5,1,5,100.52,112.94,nature,start
YMaze_Settings,tall-7b8367e2-9dfa-415a-843a-e62ff0990a41,1,6,1,6,112.94,125.42,nature,wrong
YMaze_Settings,tall-7b8367e2-9dfa-415a-843a-e62ff0990a41,1,7,2,1,125.42,206.5583,office,start
