experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,environment,spawn
YMaze_Settings,dress-cf059d4c-1329-4681-8123-1f1c10b64f8b,1,1,1,1,13.75401,28.95999,nature,start
YMaze_Settings,dress-cf059d4c-1329-4681-8123-1f1c10b64f8b,1,2,1,2,28.95999,34.19999,nature,start
YMaze_Settings,dress-cf059d4c-1329-4681-8123-1f1c10b64f8b,1,3,1,3,34.19999,45.57998,nature,start
YMaze_Settings,dress-cf059d4c-1329-4681-8123-1f1c10b64f8b,1,4,1,4,45.57998,50.07998,nature,start
YMaze_Settings,dress-cf059d4c-1329-4681-8123-1f1c10b64f8b,1,5,1,5,50.07998,56.03998,nature,start
YMaze_Settings,dress-cf059d4c-1329-4681-8123-1f1c10b64f8b,1,6,1,6,56.03998,56.03998,nature,wrong
YMaze_Settings,dress-cf059d4c-1329-4681-8123-1f1c10b64f8b,1,7,2,1,56.03998,76.66392,office,start
